popularity,song,file
36,I'm A Fool To Want You,iwantyou.txt
36,Where Is the One,whereareyou.txt
36,You Ain't Goin' Nowhere,goinnowhere.txt
36,Señor (Tales of Yankee Power) - Remastered,loandbehold.txt
36,Don't Fall Apart on Me Tonight,onemorenight.txt
36,"Mama, You Been On My Mind",mayuonmy.txt
36,This Wheel's On Fire,wheelfire.txt
36,But Beautiful,unbeliev.txt
36,New Morning,newmorning.txt
36,I Dreamed I Saw St. Augustine,idreamsa.txt
36,Everything Is Broken,everygrain.txt
36,These Foolish Things,spanishis.txt
36,As I Went out One Morning,newmorning.txt
36,Spirit on the Water,highwater.txt
35,Once Upon a Time,notime.txt
35,Trying to Get to Heaven,knockonheaven.txt
35,I Couldn't Sleep a Wink Last Night,onemorenight.txt
35,Cold Irons Bound,coldiron.txt
35,I and I,standhiw.txt
35,I Could Have Told You,iwantyou.txt
35,Sentimental Journey,tobealone.txt
35,Political World,politwor.txt
35,All Along the Watchtower - Live,aawatcht.txt
35,When the World Was Young,tomorrowisalong.txt
35,Somewhere Along the Way,somethingthere.txt
35,My One and Only Love,byeandbye.txt
35,"Day In, Day Out",tinymont.txt
35,When the World Was Young,tomorrowisalong.txt
35,Like a Rolling Stone - Live,larollin.txt
35,I Believe in You,ibelieve.txt
35,Day of the Locusts,daysoflo.txt
35,Went to See the Gypsy,wenseegy.txt
35,Shooting Star,shootsta.txt
35,You Go to My Head,somgotho.txt
35,Someday Baby,sugarbaby.txt
35,It's Funny to Everyone but Me,foreveryoung.txt
35,That Old Black Magic,blackjac.txt
34,Why Was I Born,californ.txt
34,Stay with Me,itaintme.txt
34,Sentimental Journey,tobealone.txt
34,Rollin' and Tumblin',nothingdeliv.txt
34,Brownsville Girl - Remastered,browvill.txt
34,It's Funny to Everyone but Me,foreveryoung.txt
34,Stardust,standhiw.txt
34,Shelter from the Storm - Remastered,shelter.txt
34,"Going, Going, Gone",goinggoing.txt
34,Beyond Here Lies Nothin',houserisin.txt
34,Stardust,standhiw.txt
34,Drifter's Escape,drifters.txt
34,Dirt Road Blues,dirtroad.txt
34,Went to See the Gypsy - Demo,wenseegy.txt
34,Soon After Midnight,onemorenight.txt
34,These Foolish Things,spanishis.txt
34,"Most of the Time - Alternate Version, Oh Mercy",mosttime.txt
34,Mississippi - (Unreleased) [Time Out Of Mind],mississ.txt
34,That Old Feeling,larollin.txt
34,Maybe You'll Be There,ifyouseeher.txt
34,"Baby, Stop Crying - Remastered",babystop.txt
34,Young At Heart,youmakelon.txt
34,The Night We Called It A Day,tonightill.txt
34,Highway 61 Revisited - Alternate Take,highwater.txt
34,Subterranean Homesick Blues,subterre.txt
34,Neighborhood Bully,neighbor.txt
34,Why Try to Change Me Now,hurrycane.txt
33,I Shall Be Released,ishallbereleased.txt
33,Tight Connection to My Heart (Has Anyone Seen My Love) - Remastered,timepassesslowly.txt
33,Where Are You Tonight? (Journey Through Dark Heat) - Remastered,whereareyou.txt
33,Polka Dots And Moonbeams,loandbehold.txt
33,Some Enchanted Evening,somethingthere.txt
33,Man of Peace,manpeace.txt
33,What Good Am I?,whagooam.txt
33,All The Way,allthetired.txt
33,Skylark,laylady.txt
33,"Farewell, Angelina",angelina.txt
33,Folsom Prison Blues,houserisin.txt
33,Final Theme - Remastered,itaintme.txt
33,I Was Young When I Left Home,ifyouseeher.txt
33,Time Passes Slowly,timepassesslowly.txt
33,Billy 4 - Remastered,billy.txt
33,All the Tired Horses - Remastered,allthetired.txt
33,The Boxer - Remastered,shelter.txt
33,Dear Landlord,dearland.txt
33,Til I Fell in Love with You,tifilove.txt
33,A Hard Rain's A-Gonna Fall - Live Version,hardrain.txt
33,Highlands,highland.txt
33,Million Miles,million.txt
33,When the Deal Goes Down,walkdown.txt
32,Mr. Tambourine Man - Live from London 5/26/66,mrtombou.txt
32,I Pity the Poor Immigrant,ipitypim.txt
32,Roll on John,diamonjo.txt
32,New Pony - Remastered,newpony.txt
32,Cantina Theme (Workin' for the Law) - Remastered,catinwel.txt
32,Bunkhouse Theme - Remastered,ifyouseeher.txt
32,River Theme - Remastered,deathemt.txt
32,When You Gonna Wake Up,whenyouwake.txt
32,Do Right to Me Baby (Do Unto Others),somethingthere.txt
32,Gonna Change My Way of Thinking,gonnachange.txt
32,Like a Rolling Stone - Live from Manchester 5/17/66,larollin.txt
32,Pay in Blood,catinwel.txt
32,What Was It You Wanted,whenyouwake.txt
32,Three Angels,threeangels.txt
32,House Carpenter,houscarp.txt
32,"Love Minus Zero, No Limit - Live, Remastered",onemorenight.txt
32,"Shelter from the Storm - Live, Remastered",shelter.txt
32,If Dogs Run Free,ifdogs.txt
32,"Mr. Tambourine Man - Live, Remastered",mrtombou.txt
32,Winterlude,winterlude.txt
32,You Ain't Goin' Nowhere - Take 1,goinnowhere.txt
32,Where Teardrops Fall,whereareyou.txt
32,(Quinn the Eskimo) The Mighty Quinn - Remastered,onemorenight.txt
32,When I Paint My Masterpiece - Demo,masterpiece.txt
32,I Am a Lonesome Hobo,lonehobo.txt
32,Tombstone Blues - Live,tombston.txt
32,Tempest,memphisb.txt
32,Full Moon and Empty Arms,loandbehold.txt
32,This Land Is Your Land - Live Version,handydan.txt
32,Song to Woody,songwoody.txt
32,Early Roman Kings,hardrain.txt
32,Fourth Time Around - Live from Manchester 5/17/66,foreveryoung.txt
32,Shooting Star - Live,shootsta.txt
32,Goin' to Acapulco,goinacapulco.txt
32,What'll I Do,whatcani.txt
32,That Lucky Old Sun,tangledup.txt
32,Union Sundown,union.txt
32,Beyond the Horizon,lonehobo.txt
32,True Love Tends to Forget - Remastered,trueloveten.txt
32,Can't Wait,cantwait.txt
31,Million Dollar Bash - Take 1,million.txt
31,Days of '49 - Remastered,daysoflo.txt
31,Like a Rolling Stone - Remastered,larollin.txt
31,"It's All over Now, Baby Blue - Alternate Take",ishallbereleased.txt
31,Dink's Song,song.txt
31,One More Weekend,onemorenight.txt
31,Where Are You?,whereareyou.txt
31,Odds and Ends - (Alternate Version) Take 1,oddsends.txt
31,The Wicked Messenger,wickmess.txt
31,The Levee's Gonna Break,legionna.txt
31,Father of Night,fatherof.txt
31,900 Miles from My Home,somgotho.txt
31,Hard Times In New York Town - Live,hatimeny.txt
31,She Belongs to Me - Live from London 5/26/66,shebelon.txt
31,No Time to Think - Remastered,notime.txt
31,Come Rain or Come Shine,heartmine.txt
31,Odds and Ends,oddsends.txt
31,On a Night Like This,nightlike.txt
31,Tough Mama,toughmama.txt
